,ADRESSE,AVANTAGES SOCIAUX EMPLOYÉ,DATE DE CRÉATION,DATE DE PUBLICATION,Date de clôture,Excédent Brut d’Exploitation,Marge brute,SALAIRE,SECTEUR,SITE WEB,TAILLE DE LA SOCIÉTÉ,TYPE DE CONTRAT,description,id,◆ Chiffre d’affaires,◆ Résultat net
0,,,,,31/03/2018,-3.8 K €,0,,,,,,, ‣ 752 198 937,0,42.3 K €
1,,,,,31/03/2019,-3.8 K €,0,,,,,,, ‣ 752 198 937,0,43.5 K €
2,,,,,31/03/2020,-3.7 K €,0,,,,,,, ‣ 752 198 937,0,46.8 K €
3,,,,,31/03/2021,-2.9 K €,0,,,,,,, ‣ 752 198 937,0,47.3 K €
4,,,,,31/03/2022,-1.8 K €,0,,,,,,, ‣ 752 198 937,0,-1.3 K €
5,,,,,31/12/2016,-9.7 M €,50.4 M €,,,,,,, ‣ 672 004 660,50.4 M €,-10.4 M €
6,,,,,31/12/2017,-9.9 M €,46.7 M €,,,,,,, ‣ 672 004 660,46.7 M €,-17.4 M €
7,,,,,31/12/2018,-7.6 M €,50.1 M €,,,,,,, ‣ 672 004 660,50.1 M €,-4.5 M €
8,,,,,31/12/2019,-1.2 M €,52.1 M €,,,,,,, ‣ 672 004 660,52.1 M €,-5 M €
9,,,,,31/12/2020,-10 M €,52.2 M €,,,,,,, ‣ 672 004 660,52.2 M €,-7.5 M €
10,,,,,31/12/2021,-7.2 M €,49.3 M €,,,,,,, ‣ 672 004 660,49.3 M €,-6.2 M €
