,Unnamed: 0,ADRESSE,AUTRE RÉMUNÉRATION,AVANTAGES SOCIAUX EMPLOYÉ,DATE DE CRÉATION,DATE DE PUBLICATION,SALAIRE,SECTEUR,SITE WEB,SIÈGE SOCIAL,TAILLE DE LA SOCIÉTÉ,TYPE DE CONTRAT,current_date,description,job_id,job_title,Domain
0,0,"
Bondues, HDF 59910",,,2009.0,"
Il y a 1 jour",,"
Recrutement / Intérim & Bureaux De Placement","
https://www.randstad.fr/",,"
50 à 99 salariés","
Intérim / CDD, Temps Plein",2023-07-21,"Descriptif du poste:
Dépasser nos objectifs en faisant le bonheur de nos clients et des talents,
Ça nous booste, et vous ?

Si votre réponse à cette question est oui, devenez  notre prochain chargé de recrutement et RH alternant F/H du groupe Randstad au sein de notre école IMC (institut des métiers et compétences) située au siège social du groupe Randstad France à La Plaine St Denis.

Rejoindre Randstad, c’est choisir un gro upe  où vous allez développer vos potentiels et faire un (vrai) choix : 

 Celui de faire un métier qui a du sens et de s’engager dans une aventure humaine qui se vit tant individuellement que collectivement

 Celui de suivre un parcours d’intégration adapté à l’apprentissage (en présentiel et en distanciel) avec un accompagnement managérial fort, vous ne serez jamais seul pour relever les défis. 

 Devenir un expert des métiers du recrutement en étant formé par des tops performers
Et l’école dans tout ça? 

Vous intégrez Randstad qui vous propose un package complet : l’école et le stage.
Vous préparez le bachelor “Responsable commercial et marketing en agence d’emploi” , inscrit au RNCP niveau 6, certifié ICD .
La formation se déroule pour partie en présentiel à La Plaine St Denis (juste en face du stade de France) et pour partie en distanciel. Le rythme est d'une semaine école et 3 semaines de stage par mois .

ça vous tente? Alors découvrez votre future mission. 

UNE MISSION RICHE EN DÉFIS (ET EN BONS MOMENTS !)

Être chargé de recrutement et RH alternant F/H chez nous, c’est vivre des journées remplies de défis à relever où vous gérez les recrutements de A à Z pour répondre aux besoins de nos clients.
 
Et pour ça, il vous faut avoir un état d’esprit de gagnant (et surmonter les obstacles toujours avec le sourire)   

Vous imaginez la meilleure stratégie de sourcing à mettre en place. Vous appliquez le process de recrutement (pré-sélection, pré-qualification, entretiens, intégrations). Vous analysez les besoins de vos clients et recherchez les meilleurs talents pour répondre à leurs besoins. Vous gérez le suivi administratif de A à Z (inscription candidat, suivi des contrats de mission, saisie des relevés d’heures, gestion du planning, suivi des visites médicales,...) Vous développez un réseau de partenaires emploi et participez à des forums de recrutement, job dating,....

Les petits (ou plutôt grands) plus : 

 Nos locaux sont spacieux, nos équipes au top et votre maître d’apprentissage sera là pour vous apprendre les ficelles du métier ! 

 Chromebook, tickets restaurant, CSE

 Vous êtes en province, nous vous proposons une solution d’hébergement si vous le souhaitez pour les périodes de formation en présentiel à Paris (estimées à 3 jours/mois).

 Prise en charge des frais de transports aller-retour lors de la semaine école à La Plaine St Denis
Profil recherché:
LE BON PROFIL CHEZ NOUS C’EST PEUT-ÊTRE LE VÔTRE   

Vous êtes issu(e) d’une formation supérieure bac+2 obtenue. Votre parcours est orienté commerce ou économie et gestion (BTS, DUT, …) ou spécialisé dans les domaines de la logistique, maintenance, production, hygiène et sécurité, hôtellerie-restauration, …
Vous justifiez d’une expérience professionnelle d’un an ou vous avez accompli une formation en alternance en entreprises industrielles ou de services.
La communication, la gestion des priorités et le goût du challenge, votre capacité d’adaptation ainsi que votre aisance relationnelle seront de véritables atouts pour évoluer au sein de notre groupe.

Le permis de conduire pourrait être indispensable en fonction de la localisation de votre future agence. 

  Mais ce n’est pas tout   !
 
Ce qui compte le plus pour nous c’est votre exigence, votre détermination, votre envie d’apprendre et votre sens du contact.
 
Car c’est ce qui nous anime et nous booste au quotidien.
 
Et bien sûr (ça nous semble tellement évident qu’on aurait presque oublié de l’écrire !) ce poste est ouvert aux personnes en situation de handicap 
Réf. de l’offre: AF71C8",20cbbde7-0958-4489-ba18-e9e336ed96c6,Chargé de recrutement et rh alternant f/h,c#
1,1,"
Paris, IDF 75009",,,2009.0,"
Il y a 1 jour",,"
Recrutement / Intérim & Bureaux De Placement","
https://www.randstad.fr/",,"
50 à 99 salariés","
Intérim / CDD, Temps Plein",2023-07-21,"Descriptif du poste:
Dépasser nos objectifs en faisant le bonheur de nos clients et des talents,
Ça nous booste, et vous ?

Si votre réponse à cette question est oui, devenez notre prochain consultant commercial alternant F/H du groupe Randstad au sein de notre école IMC (institut des métiers et compétences) située au siège social du groupe Randstad France à La Plaine St Denis.

Rejoindre Randstad, c’est choisir un gro upe  où vous allez développer vos potentiels et faire un (vrai) choix : 

 Celui de faire un métier qui a du sens et de s’engager dans une aventure humaine qui se vit tant individuellement que collectivement

 Celui de suivre un parcours d’intégration adapté à l’apprentissage (en présentiel et en distanciel) avec un accompagnement managérial fort, vous ne serez jamais seul pour relever les défis. 

 Devenir un expert des métiers du recrutement en étant formé par des tops performers

Et l’école dans tout ça ? 

Vous intégrez Randstad qui vous propose un package complet: l’école et le stage. Vous préparez le master “manager de la stratégie commerciale en agence d’emploi” inscrit au RNCP niveau 7 , certifié AIPF , organisme certificateur pour la marque école IDRAC Business School .

La formation se déroule pour partie en présentiel à La Plaine St Denis (juste en face du stade de France) et pour partie en distanciel. Le rythme est d'une semaine école et 3 semaines de stage par mois .

ça vous tente? Alors découvrez votre future mission.

UNE MISSION RICHE EN DÉFIS (ET EN BONS MOMENTS !)

Être consultant commercial alternant F/H chez nous, c’est vivre des journées remplies de défis à relever où vous gérez et développez un portefeuille de clients et prospects tout en pilotant les recrutements de A à Z.
 
Et pour ça, il vous faut avoir un état d’esprit de gagnant (et surmonter les obstacles toujours avec le sourire)   

Avec votre casquette commerciale :

Vous prenez en charge la création, le développement et le suivi d’un portefeuille de prospects et clients. Vous accompagnez les clients et prospects pour bien identifier les profils qu’il leur faut. Vous construisez une relation de confiance avec vos clients.
Avec votre casquette recrutement : 
 
Vous imaginez la meilleure stratégie de sourcing à mettre en place. Vous appliquez le process de recrutement (pré-sélection, pré-qualification, entretiens, intégrations).
Et surtout, vous évaluez la motivation et les compétences des candidats et leur donnez ENVIE  !  
Les petits (ou plutôt grands) plus : 

 Nos locaux sont spacieux, nos équipes au top et votre maître d’apprentissage sera là pour vous apprendre les ficelles du métier ! 

 Chromebook, tickets restaurant, CSE

 Vous êtes en province, nous vous proposons une solution d’hébergement si vous le souhaitez pour les périodes de formation en présentiel à Paris (estimées à 3 jours/mois).

 Prise en charge des frais de transports aller-retour lors de la semaine école à La PLaine St Denis
Profil recherché:
LE BON PROFIL CHEZ NOUS C’EST PEUT-ÊTRE LE VÔTRE   

Vous êtes issu(e) d'une formation supérieure bac+3/bac+4 obtenu. Votre parcours est orienté commerce ou économie et gestion (bachelor, licence,...)  ou spécialisé dans les domaines du commerce ou du marketing ou des ressources humaines.

Coté compétences, si vous avez une première expérience dans la vente ou un cabinet de recrutement : c’est un bon début  .

Le permis de conduire et un véhicule personnel pourront être indispensables en fonction de la localisation de votre future agence. 

 
Mais ce n’est pas tout !
 
Ce qui compte le plus pour nous c’est votre amour des défis (et des chiffres), votre exigence, votre détermination, votre envie d’apprendre et votre sens du contact.
 
Car c’est ce qui nous anime et nous booste au quotidien.
 
Et bien sûr (ça nous semble tellement évident qu’on aurait presque oublié de l’écrire !) ce poste est ouvert aux personnes en situation de handicap 
 Réf. de l’offre: A18448",8673ba91-a3d0-4a4b-98c2-aa508e687ada,Consultant recrutement en alternance - f/h,c#
2,2,"
Narbonne, OCC 11100",,,2009.0,"
Il y a 1 jour","
27 768 € Par An","
Recrutement / Intérim & Bureaux De Placement","
https://www.randstad.fr/",,"
50 à 99 salariés","
Temps Plein, CDI",2023-07-21,"Descriptif du poste:
Dépasser nos objectifs en faisant le bonheur de nos clients et candidats, 
Ça nous rend fier, et vous ?

Si votre réponse à cette question est oui, devenez notre prochain consultant commercial en ressources humaines, au sein du Groupe Randstad, premier réseau national de recrutement 100% spécialisé par métiers qui accompagne chaque année 40 000 entreprises françaises et plus de 270 000 candidats !

Rejoindre Randstad, c’est choisir un groupe certifié Top Employer et faire un (vrai) choix : 

 Celui de faire un métier qui a du sens et de s’engager dans une aventure humaine qui se vit tant individuellement que collectivement, (d'ailleurs on aime tellement l'esprit d'équipe et les valeurs du sport qu'on est devenu Supporter Officiel des Jeux Olympiques et Paralympiques de Paris 2024),

 Celui de recevoir autant que l’on donne (autrement dit : 23 RTT, du télétravail, une rétribution de la performance avec un variable qui fait la différence, des tickets restaurant et un Comité Social et Économique),

 Mais c’est aussi profiter de toutes les opportunités de formation (en présentiel et distanciel via notre plateforme d’e-learning) et d’évolution du 1er réseau national de recrutement 100 % spécialisé par métiers ! 

Ça vous tente ? Alors découvrez votre future mission.
 
UNE MISSION RICHE EN DÉFIS (ET EN BONS MOMENTS !)

Pour dénicher des top profils et atteindre ses objectifs, il faut une bonne dose de détermination et un vrai sens du service. Mais c’est justement ça qu’on aime !

On vous en dit plus ? 

Être consultant commercial chez nous, c’est vivre un quotidien 0% routine et 100% humain où vous conseillez les entreprises partenaires tout en gérant les intérimaires.
Et pour ça, il faut savoir courir plusieurs lièvres à la fois 

En quelques mots, au quotidien : 
Vous prospectez pour développer la clientèle Randstad,  Vous gérez votre portefeuille client au quotidien, Vous identifiez les compétences chez les candidats et faites le matching avec les demandes de vos clients, Vous participez au développement des compétences de vos intérimaires en leur proposant des formations adaptées à leur projet professionnel (et pourquoi pas leur proposer de continuer l’aventure en contrat à durée indéterminée intérimaire ?)  Enfin, en tant qu’employeur, vous avez également en charge la gestion RH de vos intérimaires (planning, contrat, relevés d’heures, attestations...)    

Le petit (ou plutôt grand) plus : un process d’intégration personnalisé et un accompagnement au quotidien qui vous permet de réaliser un démarrage dans les meilleures conditions.
Profil recherché:
LE BON PROFIL CHEZ NOUS C’EST PEUT-ÊTRE LE VÔTRE   

En quelques mots : vous avez un Bac+2 minimum, le permis B et un véhicule : c’est un bon début 

Mais ce n’est pas tout ! 

Ce qui compte le plus pour nous, c’est votre curiosité, votre agilité, votre capacité à relever des défis et à prendre part à l’aventure, mais aussi votre aisance relationnelle, votre sens commercial et votre envie de satisfaire vos clients.
Car c’est ce qui nous anime et nous booste au quotidien. 

Et bien sûr (ça nous semble tellement évident qu’on aurait presque oublié de l’écrire !) ce poste est ouvert aux personnes en situation de handicap 

 
LA VIE CHEZ RANDSTAD, CE SONT NOS ÉQUIPES QUI EN PARLENT LE MIEUX !
 
Vous voulez en savoir plus sur le quotidien chez Randstad ? Découvrez le témoignage de vos futurs collègues !

Portrait de Dimitri, Responsable d’agence chez Randstad  https://www.youtube.com/watch?v=TxfC0ZXRWEY

 Réf. de l’offre: A11100",b0453bb0-7b6b-461c-b0b7-58c710222aa1,Consultant commercial en rh f/h,c#
3,3,"
Segre En Anjou Bleu, PLO 49500",,,2009.0,"
Il y a 1 jour","
34 177 € Par An","
Recrutement / Intérim & Bureaux De Placement","
https://www.randstad.fr/",,"
50 à 99 salariés","
Temps Plein, CDI",2023-07-21,"Descriptif du poste:
Randstad est certifié Top Employer
pour la 3ème année consécutive !
Vous souhaitez donner du sens à votre carrière ? Votre mission : développer vos centres de profit de Segré et Château Gontier et faire monter en puissance vos collaborateurs.

Vous avez un tempérament commercial et savez impulser la nouveauté
 
La clé de votre succès : l’agilité.
 
Un poste enrichissant et polyvalent :
Vous alliez :
- le développement commercial de votre portefeuille clients,
- mais aussi l’animation et la performance de votre équipe, 
- et encore le pilotage du budget de votre unité
- sans oublier les relations auprès des décideurs locaux et des grands comptes !
 
Un cadre propice à votre réussite
Votre directeur de région F/H vous guide dans votre pilotage, vous vous appuyez sur des outils innovants et des process performants vous permettent de vous concentrer sur votre valeur ajoutée. 
 
Vos efforts et votre engagement récompensés :
A votre salaire fixe vient s’ajouter un variable, véritable source de motivation pour vous dépasser au quotidien. 
Vous bénéficiez également d’un véhicule de fonction 
 
Un équilibre vie pro/vie privée respectée 
23 jours de RTT (en plus des 5 semaines de congés) pour faire ce que vous aimez
 
A propos de l’agence :
Une agence dans des locaux agréables et spacieux.
Une équipe dynamique et performante qui connaît bien son métier. 
Un comité de Région qui a hâte de vous rencontrer.
 
A propos de Randstad :
Randstad est le premier réseau national de recrutement 100 % spécialisé par métiers.
Randstad accompagne chaque année en France 40 000 entreprises dans leurs besoins en recrutement et propose à plus de 270 000 candidats des postes en CDI, CDD et travail temporaire.
Profil recherché:
Votre profil :
De formation Bac+2 à Bac + 5 commerciale ou RH. 
Une première expérience dans la gestion de centre de profit sera appréciée mais n’est pas obligatoire, nous recherchons avant tout votre curiosité et votre envie de faire réussir une équipe.
Vous êtes titulaire du permis B.   
 
? A compétences égales, ce poste est ouvert aux personnes en situation de handicap
Réf. de l’offre: AB4C2C",2395c6d1-da95-42c9-8175-40b0dc68e1f4,Responsable d'agence f/h,c#
4,4,"
Blenod Les Pont A Mousson, GE 54700",,,2009.0,"
Il y a 1 jour","
24 440 € Par An","
Recrutement / Intérim & Bureaux De Placement","
https://www.randstad.fr/",,"
50 à 99 salariés","
Temps Plein, CDI",2023-07-21,"Descriptif du poste:
Randstad est certifié Top Employer
pour la 3ème année consécutive !

Vous avez un tempérament de chasseur (se) de talents et souhaitez donner du sens à votre carrière ? Votre mission : détecter les talents qui s’épanouiront chez nos clients.
 
La clé de votre succès ? l’adaptabilité
 
Un poste enrichissant et polyvalent :
Vous conjuguez :
les évaluations de poste chez nos clients, le sourcing et l’évaluation de candidats la délégation et la fidélisation des intérimaires.

Expert sur votre bassin d’emploi, vous êtes également l’interlocuteur privilégié de nos partenaires : pôle emploi, mission locales, écoles: journées sans routine garanties!
 
Un cadre propice à votre réussite :
Des outils innovants et des process performants vous permettent de vous concentrer sur votre valeur ajoutée. Vous vous appuyez au quotidien sur votre équipe et sur un management bienveillant, 
 
Vos efforts et votre mérite récompensés :
A votre salaire fixe vient s’ajouter un variable, véritable source de motivation pour vous dépasser au quotidien.
 
Un équilibre vie pro/vie privée respectée:
23 jours de RTT pour faire tout ce que vous aimez !
 
A propos de l’agence :
- Une agence située dans des locaux agréables et spacieux.
- Une équipe dynamique et performante qui connaît très bien son marché et son secteur.
- Votre futur manager, prêt à vous apprendre les ficelles du métier et à vous accompagner, pour une prise de poste dans les meilleures conditions.
 
A propos de Randstad :
Randstad est le premier réseau national de recrutement 100 % spécialisé par métiers.
Randstad accompagne chaque année en France 40 000 entreprises dans leurs besoins en recrutement et propose à plus de 270 000 candidats des postes en CDI, CDD et travail temporaire.
Profil recherché:
Votre profil :
Formation Bac +2/+3 commerciale ou RH
Une première expérience sera appréciée mais n’est pas obligatoire, nous recherchons avant tout votre curiosité et votre envie d’apprendre.
Vous êtes titulaire du permis B.  
 
A compétences égales, ce poste est également ouvert aux personnes en situation de handicap
Réf. de l’offre: AE490B",d9072335-848e-4b09-8596-e89fb9388e15,Chargé de recrutement f/h,c#
5,5,"
Saint-Priest, ARA 69800",,,2009.0,"
Il y a 1 jour","
27 768 € Par An","
Recrutement / Intérim & Bureaux De Placement","
https://www.randstad.fr/",,"
50 à 99 salariés","
Temps Plein, CDI",2023-07-21,"Descriptif du poste:
Randstad est certifié Top Employer
pour la 3ème année consécutive !

Vous avez un tempérament commercial et souhaitez donner du sens à votre carrière ?
Votre mission si vous l’acceptez : détecter chez vos clients et prospects, les opportunités de recrutements pour nos candidats.
 
La clé de votre succès ? L’anticipation.
 
Un poste enrichissant et polyvalent. Vous conjuguez :
le conseil et le développement commercial, le recrutement de vos candidats (profils 30 à 35 KE) ainsi que suivi et l'amélioration continue de votre prestation 

**Journées sans routine garanties ! 
 
Un cadre propice à votre réussite
Des outils innovants et des process performants vous permettent de vous concentrer sur votre valeur ajoutée. Vous vous appuyez au quotidien sur un management bienveillant.
 
Vos efforts et votre mérite récompensés
A votre salaire fixe vient s’ajouter un variable, véritable source de motivation pour vous dépasser au quotidien !

 
Un équilibre vie pro/ vie privée respecté
23 jours de RTT, en plus de vos 5 semaines de congés, pour faire tout ce que vous aimez !

 
A propos de l’agence :
Une agence située dans des locaux agréables et spacieux. Une équipe dynamique et performante qui connait très bien son marché et son secteur.

 
A propos de Randstad :
Randstad est le premier réseau national de recrutement 100% spécialisé par métiers.
Randstad accompagne chaque année en France 40 000 entreprises dans leurs besoins en recrutement et propose à plus de 270 000 candidats des postes en CDI/CDD et travail temporaire.
 
 
A compétences égales, ce poste est ouvert aux personnes en situation de handicap
Profil recherché:
Vous disposez d'un diplôme Bac +2/3, cursus commercial ou RH ? C'est parfait !
 
D'une expérience en cabinet recrutement ou assimilé de 2 ans minimum ou expérience en recrutement à laquelle s’ajoute une sensibilité commerciale et/ou un expertise technique liée au secteur d’activité.
 
Vous êtes titulaire du permis B et possédez un véhicule (frais kilométriques remboursés ;-))
Réf. de l’offre: AE2A43",39b46bd6-75e6-4a19-8390-5d5ccd92d925,Consultant en recrutement - f/h,c#
6,6,"
Chateaubourg, BRE 35220",,,2009.0,"
Il y a 1 jour","
24 930 € Par An","
Recrutement / Intérim & Bureaux De Placement","
https://www.randstad.fr/",,"
50 à 99 salariés","
Temps Plein, CDI",2023-07-21,"Descriptif du poste:
Randstad est certifié Top Employer
pour la 3ème année consécutive !
Vous avez une expérience réussie dans le secteur du travail temporaire ou en assistanat commercial ? Vous êtes résolument  orienté(e) ""service client""  et avez à cœur de  développer une structure ?  Rejoignez une aventure humaine  grandeur nature,  promesse d’un  quotidien stimulant, formateur et gratifiant  en intégrant la nouvelle marque du Groupe Randstad France : Randstad Onsite.

 
 
Pour renforcer notre positionnement de leader sur le marché, nous recrutons un(e) :
 
Chargé de Recrutement Multi-Sites f/h
 
Après une formation théorique, vous devenez le partenaire en Ressources Humaines d’un portefeuille de clients du secteur logistique, industriel ou automobile.
Responsable et autonome au quotidien , votre présence régulière sur nos sites clients vous permet de gérer, fidéliser et développer en volume les RH intérimaires : 
 
- Vous prenez en charge le sourcing sur votre bassin d’emploi et recrutez les compétences nécessaires à la pérennité de l’activité de vos clients.
- Vous êtes responsable du processus administratif RH de vos intérimaires : contrats, paies, disciplinaire, suivi de mission...
- Vous êtes garant de notre positionnement de leader sur le marché en instaurant une relation de confiance avec l’ensemble de vos interlocuteurs (clients, intérimaires, partenaires).
Profil recherché:
De formation Bac+2 minimum en ressources humaines, commerce, industrie ou logistique, vous justifiez d’une expérience de 3 ans minimum dans laquelle vous avez développé des compétences en recrutement. 
 
Vous rêvez d’un quotidien inattendu, d’échanges riches et variés et de défis à relever ? Alors nous avons certainement beaucoup à vivre ensemble ! 
 
? A compétences égales, ce poste est ouvert aux personnes en situation de handicap
Réf. de l’offre: A69939",b5ef15e6-047d-4944-bdc8-457b8fd0b401,Responsable de compte onsite f/h,c#
7,7,"
Dunkerque, HDF 59140",,,2009.0,"
Il y a 1 jour",,"
Recrutement / Intérim & Bureaux De Placement","
https://www.randstad.fr/",,"
50 à 99 salariés","
Temps Plein, CDI",2023-07-21,"Descriptif du poste:
Randstad est certifié Top Employer pour la 3ème année consécutive !

Vous avez un tempérament commercial et souhaitez donner du sens à votre carrière ?
Votre mission si vous l’acceptez : détecter chez vos clients et prospects, les opportunités de recrutements pour nos candidats.

La clé de votre succès ? L’anticipation.

Un poste enrichissant et polyvalent
Vous conjuguez:
le conseil et le développement commercial,
le recrutement de votre pool intérimaires / candidats
ainsi que la gestion de la performance organisationnelle de l’activité
**Journées sans routine garanties !

Un cadre propice à votre réussite
Des outils innovants et des process performants vous permettent de vous concentrer sur votre valeur ajoutée. Vous vous appuyez au quotidien sur un management bienveillant et sur votre binôme.

Vos efforts et votre mérite récompensés
A votre salaire fixe vient s’ajouter un variable, véritable source de motivation pour vous dépasser au quotidien !

Un équilibre vie pro/ vie privée respecté
23 jours de RTT, en plus de vos 5 semaines de congés, pour faire tout ce que vous aimez !

A propos de l’agence :
- Une agence située dans des locaux agréables et spacieux.
- Une équipe dynamique et performante qui connait très bien son marché et son secteur.
- Votre futur binôme, prêt à vous apprendre les ficelles du métier et à vous accompagner pour une prise de poste dans les meilleures conditions.

A propos de Randstad :
Randstad est le premier réseau national de recrutement 100% spécialisé par métiers.
Randstad accompagne chaque année en France 40 000 entreprises dans leurs besoins en recrutement et propose à plus de 270 000 candidats des postes en CDI/CDD et travail temporaire.

A compétences égales, ce poste est ouvert aux personnes en situation de handicap
Profil recherché:
Vous disposez d'un diplôme Bac +2/3 ? C'est parfait !
Une première expérience sera appréciée mais n’est pas obligatoire, nous recherchons avant tout votre curiosité et votre envie d’apprendre !!

Vous êtes titulaire du permis B et possédez un véhicule (frais kilométriques remboursés ;-))

Réf. de l’offre: A7F2AA",d92a6fec-8f65-4dfd-bf65-dee7d8ef5271,Consultant f/h,c#
8,8,"
Saint-Denis, IDF 93210",,,2009.0,"
Il y a 1 jour",,"
Recrutement / Intérim & Bureaux De Placement","
https://www.randstad.fr/",,"
50 à 99 salariés","
Intérim / CDD, Temps Plein",2023-07-21,"Descriptif du poste:
Rattaché(e) au Directeur(rice) Commercial, l’assistant(e) commercial & administratif est en charge de la relation client tant avec les interlocuteurs externes qu’avec les interlocuteurs internes.

Accompagner les Responsables Commerciaux dans le déploiement et le suivi du plan d’action :
-Informer des nouvelles conditions commerciales les agences du périmètre de l'accord ou des informations générales concernant certains sites
- Prendre contact avec les Responsables Commerciaux auprès des agences prioritaires dans le déploiement ; relancer, compiler et suivre les actions permettant aux Responsables Commerciaux de communiquer à l'acheteur les étapes réalisées.

Commercial Premier niveau
- Assistance commerciale de premier niveau à destination des réseaux (problème de coefficient / prestations / cas litigieux / identification opportunités…)
- Synthétiser les sollicitations des clients internes / externes et alerte les interlocuteurs en charge des différents sujets
- Suivre les litiges et alertes auprès des Directeurs et Responsables Commerciaux si nécessaire

Rapports Réunions commerciales
- Envoyer des reportings périodiques et exceptionnels aux clients.
- Préparer les présentations à destination des Réseaux (réunion commerciale de région)
- Etudier les bassins d'emploie / besoins clients, analyse de difficultés de taux de service

Développement Commercial
- Alimenter et mettre à jour la base commerciale de Sales Force
- Qualifier les Prospect Grands Comptes sur Sales Force (trouver le bon contact interne : Acheteur, RH, DRH, Directeur Achat Industrie, ...)
- Gérer des actions commerciales type emailing, réseaux sociaux professionnels à destination de prospects ou clients
- Organiser et préparer la logistique des temps clients (webinar / Lab Inno / salons / Petits déjeuner …)

Profil recherché:
Niveau de formation : Bac + 2 / BTS comptabilité gestion / DUT GEA (gestion des entreprises et des administrations) / Licence Pro commerciale

Expérience professionnelle : une première expérience dans le métier de l’assistanat commercial
Réf. de l’offre: AE6BD6",63b3b13e-8637-4874-93f2-bc0ceea84844,Assistant commercial f/h,c#
9,9,"
Bondues, HDF 59910",,,2009.0,"
Il y a 1 jour",,"
Recrutement / Intérim & Bureaux De Placement","
https://www.randstad.fr/",,"
50 à 99 salariés","
Intérim / CDD, Temps Plein",2023-07-21,"Descriptif du poste:
Dépasser nos objectifs en faisant le bonheur de nos clients et des talents,
Ça nous booste, et vous ?

Si votre réponse à cette question est oui, devenez  notre prochain chargé de recrutement et RH alternant F/H du groupe Randstad au sein de notre école IMC (institut des métiers et compétences) située au siège social du groupe Randstad France à La Plaine St Denis.

Rejoindre Randstad, c’est choisir un gro upe  où vous allez développer vos potentiels et faire un (vrai) choix : 

 Celui de faire un métier qui a du sens et de s’engager dans une aventure humaine qui se vit tant individuellement que collectivement

 Celui de suivre un parcours d’intégration adapté à l’apprentissage (en présentiel et en distanciel) avec un accompagnement managérial fort, vous ne serez jamais seul pour relever les défis. 

 Devenir un expert des métiers du recrutement en étant formé par des tops performers
Et l’école dans tout ça? 

Vous intégrez Randstad qui vous propose un package complet : l’école et le stage.
Vous préparez le bachelor “Responsable commercial et marketing en agence d’emploi” , inscrit au RNCP niveau 6, certifié ICD .
La formation se déroule pour partie en présentiel à La Plaine St Denis (juste en face du stade de France) et pour partie en distanciel. Le rythme est d'une semaine école et 3 semaines de stage par mois .

ça vous tente? Alors découvrez votre future mission. 

UNE MISSION RICHE EN DÉFIS (ET EN BONS MOMENTS !)

Être chargé de recrutement et RH alternant F/H chez nous, c’est vivre des journées remplies de défis à relever où vous gérez les recrutements de A à Z pour répondre aux besoins de nos clients.
 
Et pour ça, il vous faut avoir un état d’esprit de gagnant (et surmonter les obstacles toujours avec le sourire)   

Vous imaginez la meilleure stratégie de sourcing à mettre en place. Vous appliquez le process de recrutement (pré-sélection, pré-qualification, entretiens, intégrations). Vous analysez les besoins de vos clients et recherchez les meilleurs talents pour répondre à leurs besoins. Vous gérez le suivi administratif de A à Z (inscription candidat, suivi des contrats de mission, saisie des relevés d’heures, gestion du planning, suivi des visites médicales,...) Vous développez un réseau de partenaires emploi et participez à des forums de recrutement, job dating,....

Les petits (ou plutôt grands) plus : 

 Nos locaux sont spacieux, nos équipes au top et votre maître d’apprentissage sera là pour vous apprendre les ficelles du métier ! 

 Chromebook, tickets restaurant, CSE

 Vous êtes en province, nous vous proposons une solution d’hébergement si vous le souhaitez pour les périodes de formation en présentiel à Paris (estimées à 3 jours/mois).

 Prise en charge des frais de transports aller-retour lors de la semaine école à La Plaine St Denis
Profil recherché:
LE BON PROFIL CHEZ NOUS C’EST PEUT-ÊTRE LE VÔTRE   

Vous êtes issu(e) d’une formation supérieure bac+2 obtenue. Votre parcours est orienté commerce ou économie et gestion (BTS, DUT, …) ou spécialisé dans les domaines de la logistique, maintenance, production, hygiène et sécurité, hôtellerie-restauration, …
Vous justifiez d’une expérience professionnelle d’un an ou vous avez accompli une formation en alternance en entreprises industrielles ou de services.
La communication, la gestion des priorités et le goût du challenge, votre capacité d’adaptation ainsi que votre aisance relationnelle seront de véritables atouts pour évoluer au sein de notre groupe.

Le permis de conduire pourrait être indispensable en fonction de la localisation de votre future agence. 

  Mais ce n’est pas tout   !
 
Ce qui compte le plus pour nous c’est votre exigence, votre détermination, votre envie d’apprendre et votre sens du contact.
 
Car c’est ce qui nous anime et nous booste au quotidien.
 
Et bien sûr (ça nous semble tellement évident qu’on aurait presque oublié de l’écrire !) ce poste est ouvert aux personnes en situation de handicap 
Réf. de l’offre: AF71C8",0ab72093-1e82-4178-bbc1-0910cc2b171a,Chargé de recrutement et rh alternant f/h,c#
