,Unnamed: 0,ADRESSE,AUTRE RÉMUNÉRATION,AVANTAGES SOCIAUX EMPLOYÉ,DATE DE CRÉATION,DATE DE PUBLICATION,SALAIRE,SECTEUR,SITE WEB,SIÈGE SOCIAL,TAILLE DE LA SOCIÉTÉ,TYPE DE CONTRAT,current_date,description,job_id,job_title,Domain
0,0,"
Dijon, BFC 21000",,,,"
Il y a 1 jour","
35 000 € Par An","
Informatique - Software","
http://www.expectra.fr",,"
500 à 999 salariés","
Temps Plein, CDI",2023-07-21,"A propos de notre client:
Expectra recrute pour le compte de son client, fournisseur de solutions logiciels avancées pour les établissements de santé, un Développeur Java pour intégrer son équipe.
Descriptif du poste:
En tant que développeur Java, vous travaillerez sur des projets de grande envergure et contribuerez à la création de solutions logiciels innovantes pour l'industrie de la santé. Vous travaillerez dans un environnement collaboratif.
Vos missions principales sont :
- Développement de fonctionnalités pour faire évoluer les logiciels en lien avec le cahier des charges du client, en utilisant Java et d'autres technologies connexes.
- Participation à toutes les étapes du cycle de vie du développement logiciel, de la conception à la mise en production.
- Collaboration avec les membres de l'équipe de développement et d'autres équipes de l'entreprise pour assurer la qualité et l'efficacité du développement des solutions.
Profil recherché:
De formation BAC +3 ou équivalent, vous disposez d'une expérience significative en tant que développeur. Vous disposez d'une première expérience réussie dans le développement de logiciels Java (alternance incluse). Vous avez des connaissances approfondies des technologies Java.
Réf. de l’offre: 307-O31-R000622_03R",7e54d418-b8c0-4d87-a06b-71c986524845,Developpeur java (F/H),java
1,1,"
Ramonville Saint-Agne, OCC 31520",,,,"
Il y a 2 jours","
38 000 € Par An","
Parcs D'Attraction & Salles De Spectacles","
http://www.expectra.fr",,"
500 à 999 salariés","
Temps Plein, CDI",2023-07-21,"A propos de notre client:
Nous recherchons pour le compte de notre client un Développeur java (F/H). Le poste est à pourvoir en CDI chez un client final à Toulouse.
Descriptif du poste:
Vous interviendrez sur l'ensemble du cycle de développement d'un nouveau module, de sa conception à sa validation.

Vous participerez activement à l'amélioration continue des processus de production, à la veille technologique, aux projets techniques transverses, aux échanges et consolidation de bonnes pratiques avec les équipes des différents domaines métiers.

Vous évoluerez dans un environnement Agile selon les principes Scrum.
Profil recherché:
De formation supérieure en informatique, vous justifiez d'une solide expérience en développement Java et en tant que référent technique :
- Compétences attendues : JAVA/JEE, Spring, API REST
- Compétences appréciées : Angular, Message broker, Elasticsearch
Vous êtes intéressé(e) par l'architecture logicielle et maîtrisé(e) l'intégration continue (Docker, Sonar, Jenkins, Gradle, etc…).
Vous possédez un excellent relationnel, êtes curieux(se) et avez l'esprit d'équipe.
De plus, vous êtes doté(e) d'un fort sens de l'analyse, vous savez vous adapter et avez un esprit tourné vers l'amélioration continue.

L'écoute et la bienveillance sont des valeurs qui nous sont chères.
Nous avons toujours déployé les moyens nécessaires pour que les salariés puissent disposer d'un cadre de travail agréable et spacieux, complété par une politique d'achat de matériel de qualité.
Poste ouvert au télétravail partiel (10 jours/mois).
Statut cadre, tickets restaurant, mutuelle, aides aux transports.
Réf. de l’offre: 307-S38-R000965_01R",c1984306-b052-4436-9e0a-e8d082ec7433,Développeur java (F/H),java
2,2,"
Courbevoie, IDF",,,,"
Il y a 6 jours",,,,,,"
Temps Plein, CDI",2023-07-21,"Nous recherchons un(e) Développeur(euse) java confirmé(e) afin de rejoindre la direction technique de notre client et de prendre en charge le développement de plusieurs projets interconnectés les uns aux autres.
Au sein de cette équipe, vos missions seront les suivantes : 
Participation à l’organisation des développements
Assurez les évolutions du socle technique existant et l’améliorez constamment.
Rédaction de la documentation technique 
Réalisation des développements
Réalisation des API 
Réalisation des tests associés
Suivi de la mise en production et maintenance


De formation Bac +5 (Master Informatique, École d’Ingénieur), vous avez une expérience significative d’au moins 3 ans en développement web front/back.
Maîtrise du langage Java (frameworks : spring, hibernate)
Solides connaissances en Javascript et notamment dans l'utilisation de bibliothèques avancées (JQuery) 
Bonne connaissance du WS Rest avec protocole REST
Bonne maîtrise de PostgreSQL
Bonne maîtrise SQL 
Une connaissance de Struts est un plus 

  ",b8f53e8f-fd3d-4b84-9793-ff13d2c56db8,DEVELOPPEUR JAVA (H/F),java
3,3,"
Lyon, ARA",,,1976.0,"
Aujourd'hui",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Développement/ingénierie
Localisation principale : France, Rhône, Lyon
No de poste :J1122-3435
Type d’emploi :Temps plein
Description du poste :
Au sein du Groupe, vous rejoignez les équipes Lyonnaises.

A Lyon, nos équipes accompagnent nos clients grands comptes dans la mise en œuvre de leurs projets stratégiques. Nos services couvrent l'ensemble du cycle de production logiciel, de l’amont des projets à la maintenance de solutions dans des domaines variés comme l'énergie, le transport, le secteur public, la finance ou les télécommunications. Notre agence abrite également le centre mondial d'excellence de CGI dédié à la digitalisation de la supply chain, offrant ainsi de multiples perspectives d’évolution de carrière.

Au sein de notre bureau Lyonnais, vous rejoignez une équipe d'expert à la recherche d'un Développeur Java H/F
Fonctions et responsabilités :
Au sein de nos équipes projet vous participerez à :

- L’analyse et la rédaction des spécifications techniques
- La conception et le développement d’applications
- Les tests, la recette, l’intégration et la mise en production
- La maintenance corrective et évolutive
- L’encadrement technique des juniors
- L’aide aux utilisateurs

Vous devrez également respecter les bonnes pratiques en place :
- Normes de développement
- Méthodologies agiles, Scrum, DevOps
Qualités requises pour réussir dans ce rôle :
- Passionné par la conception et le développement
- Force de proposition sur les solutions techniques à mettre en œuvre
- Curieux et motivé pour apprendre et partager ses connaissances
- Doté d'un grand sens du service et de bonnes qualités relationnelles
- Attentif à la qualité, la maintenabilité et aux performances

De formation supérieure Bac+2 à Bac+5, Vous justifiez d’une première expérience réussie de 2 ans minimum autour des technologies Java / JEE.

Compétences requises :
Java J2E, le Javascript, NodeJS, les frameworks open source Web type Angular JS, Bootstrap, D3js.. ainsi que les portails open source comme Liferay.

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+.


A propos de CGI :

Fondée en 1976, CGI figure parmi les plus importantes entreprises indépendantes de services-conseils en technologie de l’information (TI) et en management au monde. CGI compte 88 500 conseillers et professionnels établis partout dans le monde grâce auxquels l’entreprise offre un portefeuille complet de services et de solutions : des services-conseils stratégiques en TI et en management, de l’intégration de systèmes, des services en TI et en gestion des processus d’affaires en mode délégué ainsi que des solutions de propriété intellectuelle. La collaboration de CGI avec ses clients repose sur un modèle axé sur les relations locales, conjugué à un réseau mondial de prestation de services, qui permet aux clients de réaliser la transformation numérique de leur organisation et d’accélérer l’obtention de résultats. Au cours de l’exercice financier 2021, CGI a généré des revenus de 12,13 milliards $. Les actions de CGI sont inscrites à la Bourse de Toronto (GIB.A) ainsi qu’à la Bourse de New York (GIB). Apprenez-en davantage sur cgi.com.
Compétences :
Angular
Java


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",a5ae5389-a35e-4a0b-b9bf-83cdce3d05e3,Développeur Java H/F,java
4,4,"
Montpellier, OCC",,,1976.0,"
Il y a 4 jours",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Analyse et technologies numériques émergentes
Localisation principale : France, Hérault, Montpellier
No de poste :J0723-0764
Type d’emploi :Temps plein
Description du poste :
Développement front-end, Back-end, Fullstack,... Ca vous parle ?
Nous rejoindre, c’est intégrer une communauté technique animée aussi bien par le défi de répondre aux enjeux de nos clients en proposant des solutions innovantes, que le partage entre pairs autour des dernières tendances technologiques et le développement des compétences grâce aux nombreuses formations et certifications proposées.

Rejoignez notre centre d’excellence en innovation à Montpellier et rendez unique l’expérience digitale de nos clients en travaillant sur des sujets tels que le marketing digital, User eXperience, CRM, RPA, data, développement web et mobile, API management ou encore cybersécurité ?
Fonctions et responsabilités :
Vous intégrerez une équipe projet au sein d’un centre de service de développement de nouvelles applications pour un client stratégique dans le domaine de l’aéronautique.

Le projet cible concerne le développement d’une application de suivi des différents indicateurs clés autour des technologies Java 11, Angular 8, SpringBoot, PostGreSQL 11, MongoDb.

Vous participerez aux activités allant de la mise en œuvre de l’architecture technique en relation avec les architectes et experts techniques CGI et du client, jusqu’à la maintenance une fois l’application ouverte en ligne, en passant par les spécifications techniques et les développements.

En rejoignant CGI, vous bénéficiez notamment d’une offre complète de formations (techniques, métiers, développement personnel,…), de flexibilité grâce à notre accord télétravail (jusqu’à 3 jours de télétravail par semaine), d’une politique de congés avantageuse (27 jours de congés payés, RTT, congés ancienneté et enfant malade,…) et d’un package d’avantages intéressant (régime d’achats d’actions, participation, CSE,...).
Qualités requises pour réussir dans ce rôle :
- De formation Bac+3 minimum en informatique, vous justifiez impérativement d'au moins 2 ans d'expérience professionnelle dans le développement, l’architecture et la conception d'applications Portails Java et sur les technologies Web.

- Des compétences sur la méthodologie Scrum sont un plus.
- La maîtrise de la langue anglaise serait un plus.

Votre curiosité, votre autonomie et esprit d'initiative sont des atouts pour développer vos compétences et contribuer à votre évolution. Votre esprit d'équipe favorisera votre intégration au sein de l'agence.

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+. Dans un souci d’accessibilité et de clarté, le point médian n’est pas utilisé dans cette annonce. Tous les termes employés se réfèrent aussi bien au genre féminin que masculin.
Compétences :
Java


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",062af88c-c71c-4dae-a6c8-d2669b74b823,Développeur(se) JAVA F/H,java
5,5,"
Lille, HDF",,,2013.0,"
Il y a 2 jours",,"
Informatique - Services","
https://www.audensiel.com/",,"
2500 à 4999 salariés",,2023-07-21,"Présentation de l'entreprise
Acteur multi-spécialiste en transformation digitale, conseil métier et conseil en technologies, Audensiel accompagne ses clients de tout secteur d'activité en France et à l’international dans les domaines suivants :
- Digital : projets de transformation digitale, de la direction de projets en méthode Agile en passant par l’AMOA et le développement d’applications jusqu’à la recette/test.
- Conseil : conseil IT au sein des DSI et conseil métier au sein des directions fonctionnelles spécifiquement pour la Banque, l’Assurance et l’Industrie pharmaceutique dans leurs problématiques de gouvernance, de conformité réglementaire, de gestion des risques et de transformation des directions financières ;
- Data/IA : Architecture et développement de solutions Big Data avec des consultants data engineer et data scientists. Développement projets innovants d’intelligence artificielle de nos clients sous forme de POC.
- IoT : Exploitation des données des objets connectés et leurs traitements au sein de systèmes complexes interconnectés. Conception de l’ensemble de la chaîne de valeur qui permet d’offrir la meilleure expérience utilisateur pour ces nouveaux services et d’optimiser les gains de productivité ;
- Cybersécurité : Accompagnement sur la gouvernance des problématiques de cybersécurité de nos clients. Audit et gestion de projets pour la défense et la sécurité de données.
- Cloud/DevOps : Accompagnement à différents niveaux de votre projet, stratégie et gouvernance, architecture, développement ou encore DevOps.
Vos missions
Audensiel recrute un.e Développeur.euse Java pour son agence de Lille

Vous aurez pour principales missions :
- Mettre en oeuvre et développer vos compétences techniques et fonctionnelles en participant aux différentes phases de nos projets,
- Développer des nouvelles versions du progiciel,
- Intégrer la solution chez nos clients,
- Participer aux projets de transformation digitale de nos clients.

La liste est non-exhaustive.
Votre profil
De formation BAC+5 dans le domaine du développement informatique, vous justifiez d’une expérience significative d’au moins 3 ans en Java. Une bonne pratique de l’anglais sera appréciée. 
Conformément à son engagement éthique, Audensiel s'engage à lutter contre toute discrimination et à promouvoir la diversité et l'égalité des chances.",c7b4f442-9e62-473c-9777-383339ea97aa,Développeur Java F/H,java
6,6,"
Nantes, PLO",,,2009.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Le cabinet Lynx RH recherche pour l'un de ses clients un Développeur Java DevOps H/F sur Nantes.
Vos missions
En tant que Développeur Java, vous serez amenés à
apporter votre expertise en développement aux clients nantais,
proposer des conférences et meet-up externes 
vous impliquez dans la communauté DevOps interne
concrétiser l'ensemble des ambitions (animation de meet-up, réalisation de talks au DevFest, partage de bonnes pratiques en interne)
rejoindre la communauté DevOps pour porter des projets internes stratégiques ou en focntion de vos appétences
intervenir auprès des clients sur des missions de développements autour de la stack suivante : Java 11 à 17, Spring, Git, GitLabCI, MongoDB, Docker, Kubernetes, AWS..
Profil recherché
2 à 5 ans d'expérience (alternance comprise)
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 40000 € - 45000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 05/08/2023",164ccca7-c39c-4d0a-9995-9a89ca0cbb69,Développeur Java DevOps H/F,java
7,7,"
Toulouse, OCC 31300",,,,"
Il y a 2 jours","
45 000 € Par An","
Informatique - Software","
http://www.expectra.fr",,"
500 à 999 salariés","
Temps Plein, CDI",2023-07-21,"A propos de notre client:
Nous recherchons pour le compte de notre client, cabinet de conseil et ingénierie hautes-technologies, un développeur JAVA JEE (F/H).
Descriptif du poste:
Vous travaillez pour le compte d'un client du secteur de la télécommunication en tant que développeur Web JAVA JEE.

Intégré au sein de l'équipe de programmation, vous êtes en charge de la réalisation de la conception fonctionnelle et de l'élaboration des spécifications techniques. Vous faites le développement et vous suivez l'amélioration de l'application et la réalisation des tests unitaires. Vous gérez la maintenance des applications et vous réalisez le support auprès des clients et autres utilisateurs.

Ce poste, basé à TOULOUSE est à pourvoir dans le cadre d'un CDI.

La rémunération brute annuelle est fixée à partir de 45 000 € euros à négocier selon votre expérience.
Profil recherché:
De formation Bac+5, vous justifiez d'une première expérience dans ce domaine.

L'environnement technique est le suivant :
JAVA JEE
Frameworks ou langages associés

Vous êtes motivé à intégrer une équipe passionnée et êtes rigoureux.
Les nouvelles technologies sont votre passion vous êtes capable de mener un projet de A à Z.
Réf. de l’offre: 307-S38-R000922_01R",172c9578-527f-4d0e-a05c-8f446781f80c,Développeur java jee (F/H),java
8,8,"
Boulogne-Billancourt, IDF",,"
Service De Conciergerie, Salle De Sport, Prévoyance, Congés Maternité / Paternité, Mutuelle, Réductions Sur Les Produits/Services, Restaurant / Tickets Restaurants, Congés Maladie, Prime Sur Performance, Plan Retraite, Télé-Travail Subventionné, Congés Payés, Télé-Travail",1848.0,"
Il y a 4 jours",,"
Autres","
https://group.bnpparibas/emploi-carriere/toutes-offres-emploi",,"
10 000 salariés ou plus","
CDI",2023-07-21,"ICARE, filiale du Groupe BNP Paribas Cardif (CA de 145M€, 180 salariés), est le leader de la garantie panne mécanique en France. Créateur de solutions en matière de services et d'assurances pour le monde de l'automobile, ICARE est en plein développement sur les marchés français et internationaux.
Dans le cadre de nos projets, notre Direction des Systèmes d’Information recherche, pour notre site de Boulogne-Billancourt, un(e):
DEVELOPPEUR JAVA (H/F)
CONTEXTE:
Le Développeur Java est rattaché et placé sous l’autorité du Responsable Digital, Opérations, Gouvernance et Achats de la Direction des Systèmes d’Information
Il sera intégré au sein d’une équipe de 7 personnes en évoluant dans un contexte Agile (SCRUM / KANBAN).
MISSIONS :
Le Développeur Java aura comme rôle de participer aux projets et de maintenir nos applications au sein de l’équipe Digital de la DSI Icare, à travers les missions suivantes :
- Maintenance des applications métiers
- Proposition de solutions techniques pour répondre aux besoins métiers
- Chiffrage des tâches nécessaires au développement
- Conception technique et développement des solutions : aussi bien développement d'IHM que de processus de gestion back office.
- Réalisation des tests unitaires et d’intégration
- Rédaction de documentation technique des solutions
- Analyse et correction d’incidents
Il/elle est responsable :
- de son organisation
- des analyses et des développements qu’il/elle réalise
- des informations qu’il/elle transmet
- des suivis qu’il/elle effectue
PROFIL :
Formation
: BTS informatique minimum ; Master en informatique ; Diplôme d’Ingénieur en informatique
Bac +5 et 4/5 ans d’expérience ou Bac +2 et 4/5 ans d’expérience sur un poste similaire
Langues : Anglais technique
Informatique : voir ci-dessous dans les compétences
COMPETENCES :
Compétences techniques:
Java J2EE, Tomcat, Struts
Spring, Camunda
SQL, PostgreSQL, PL/PGSQL
HTML 5, CSS 3, Javascript, JQuery
Notions de base sur les environnements UNIX
Compétences comportementales et savoir être :
capacité d’adaptation
capacité à collaborer
capacité d’analyse
capacité de créativité et d’innovation
capacité à rendre compte
rigueur et précision",0ed4fa98-fd08-44c1-b605-961577a76cfb,ICARE - DEVELOPPEUR JAVA (H/F),java
9,9,"
Dijon, BFC 21000",,,,"
Il y a 1 jour","
35 000 € Par An","
Informatique - Software","
http://www.expectra.fr",,"
500 à 999 salariés","
Temps Plein, CDI",2023-07-21,"A propos de notre client:
Expectra recrute pour le compte de son client, fournisseur de solutions logiciels avancées pour les établissements de santé, un Développeur Java pour intégrer son équipe.
Descriptif du poste:
En tant que développeur Java, vous travaillerez sur des projets de grande envergure et contribuerez à la création de solutions logiciels innovantes pour l'industrie de la santé. Vous travaillerez dans un environnement collaboratif.
Vos missions principales sont :
- Développement de fonctionnalités pour faire évoluer les logiciels en lien avec le cahier des charges du client, en utilisant Java et d'autres technologies connexes.
- Participation à toutes les étapes du cycle de vie du développement logiciel, de la conception à la mise en production.
- Collaboration avec les membres de l'équipe de développement et d'autres équipes de l'entreprise pour assurer la qualité et l'efficacité du développement des solutions.
Profil recherché:
De formation BAC +3 ou équivalent, vous disposez d'une expérience significative en tant que développeur. Vous disposez d'une première expérience réussie dans le développement de logiciels Java (alternance incluse). Vous avez des connaissances approfondies des technologies Java.
Réf. de l’offre: 307-O31-R000622_03R",508386a3-2675-42c3-ba0c-7e1789b3d871,Developpeur java (F/H),java
