,Unnamed: 0,ADRESSE,AUTRE RÉMUNÉRATION,AVANTAGES SOCIAUX EMPLOYÉ,DATE DE CRÉATION,DATE DE PUBLICATION,SALAIRE,SECTEUR,SITE WEB,SIÈGE SOCIAL,TAILLE DE LA SOCIÉTÉ,TYPE DE CONTRAT,current_date,description,job_id,job_title,Domain
0,0,"
SAUMUR, PLO",,,1986.0,"
Il y a 3 jours",,"
Informatique - Services","
http://www.itlink.fr",,"
500 à 999 salariés",,2023-07-21,"À PROPOS

Engagé.e.s pour l'égalité des chances, nous pensons que la diversité est une richesse. Nous savons respecter, apprécier et valoriser les différences de chacun.e : ce sont vos qualités humaines qui seront considérées.
“Connect and Create for Change”... with us !
IT Link, expert des systèmes connectés
Chez IT Link, cela fait 35 ans que nous misons sur la connexion des technologies, des objets et des personnes pour apporter des réponses aux grands défis actuels de notre société (environnement, santé, sécurité…).
Nous accompagnons nos clients dans leurs projets d’innovation et de transformation, des technologies embarquées à l’application métier en passant par le cloud et la science des données.
Pour cela, nous comptons sur nos 750 Linkers présent.e.s sur 14 agences réparties dans le monde (France, Benelux, Canada et Maroc). A horizon 2025, l’objectif est d’atteindre 1000 collaborateurs.trices pour soutenir notre forte croissance.

DESCRIPTIF DU POSTE
En rejoignant IT Link, vous intégrez directement l’équipe R&D de notre client qui compte aujourd’hui 6 à 8 développeurs. Ces derniers sont répartis en deux groupes, l’un sur les technologies historiques en C embarqué et l’autre sur des langages de haut niveau Node et React.
Dans cet environnement, vous participez activement à l'élargissement des gammes des produits via le développement de nouveaux logiciels codés en Node et React.
Pour vous, le poste idéal intègre notamment les tâches suivantes :
Développer le back end et le front end
Participer aux choix d’architecture
Participer à la rédaction de la documentation (spécifications techniques, tests …)
Travailler en étroite collaboration avec le service Validation et également être support aux équipes interne de la société

PROFIL
Vous êtes diplômé.e d'études supérieures en Informatique et vous avez une expérience significative réussie de 2 ans. Aujourd’hui, vous :
Avez une bonne maîtrise du développement sur serveur Node JS
Avez des bonnes connaissances des frameworks web React, jQuery, Boostrap.
Avez connaissance du langage Typescript, des systèmes d’authentification (OAuth2…)
Êtes proactif, rigoureux et créatif
Aimer travailler en équipe
Salaire : 35k-40K (négociable selon votre profil et vos expériences)

LE PROCESSUS DE RECRUTEMENT
Un process avec des étapes simples :
Des RDV avec les équipes Business & Recrutement pour prendre le temps de se connaître et valider l'adéquation entre votre projet professionnel et nos activités
Un accompagnement à la rencontre client : on prend le temps de vous présenter le contexte et les attendus techniques en amont et on assiste avec vous au RDV avec le prescripteur technique. C’est le moment de découvrir l’environnement du projet sur lequel vous serez amené.e à travailler !
Le retour est positif ? Nous finalisons les démarches administratives et vous accueillons parmi les Linkers grâce à notre parcours d’intégration personnalisé !

“Vous pouvez imaginer, créer et construire l'endroit le plus merveilleux de la terre, mais il faudra toujours des hommes pour que le rêve devienne réalité.” - Walt Disney. Et si vous veniez nous rejoindre pour réaliser les rêves de demain ? ✨
LES PLUS DE LA VIE CHEZ IT LINK
Alan : mutuelle familiale et 100% digitale
Transports en commun à 100%
Management de proximité
Forts engagements RSE",37349ce2-bf94-441e-81c5-8422539a1b8e,Développeur.euse Full Stack Node/React (H/F/X),node js
1,1,"
Labège, OCC",,,2009.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Lynx RH Toulouse est, cabinet de recrutement spécialisé dans les domaines de l'informatique, l'ingénierie et les fonctions supports en CDI, CDD, Intérim, recrute pour l'un de ses clients un(e) Développeur web Full Stack Node JS (H/F), basé à Balma (31).
Vos missions
Vos missions seront les suivantes :

Participation aux choix stratégique des technologies,
Mise en place des bonnes pratique,
Développement front et back office de solutions responsives multi-supports,
Tests des développements et maintenance.
TECHNOLOGIES : ReactJS, Node JS, Redux, HTML/CSS, API Rest.
Pré-requis
Vous êtes autonome et vous aimez le travail en équipe.
Profil recherché
De formation supérieure en informatique, vous justifiez d'une première expérience dans le développement de sites web/applications.
La maîtrise de React JS et Redux est impérative, ainsi qu'une bonne maîtrise de HTML/CSS et API Rest.
Vous disposez d'un sens de l'esthétique et du détail.
Des expériences en serveur rendering (SSR) et en développement serveur seraient également appréciées.
Vous êtes passionné par l'informatique, ouvert à tout type de technologies et curieux d'apprendre de nouvelles choses.
Au sein d'une entreprise à forte exigence technique, vous souhaitez vous investir dans un cadre de travail stimulant.
Avantages :
Tickets restaurants,
Mutuelle,
Prime de fin d'année.
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 32000 € - 45000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 26/07/2023",d3e3d80d-d692-4ac5-ad5b-b3d1482ea581,Développeur full stack React JS / Node JS (H/F),node js
2,2,"
Bordeaux, NA",,,2013.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.openclassrooms.com",,"
100 à 499 salariés",,2023-07-21,"Vous cherchez à acquérir des compétences d'aujourd'hui et un métier qui a de l'avenir en alternance?
Notre mission : rendre l'éducation accessible à tous.
L'alternance avec OpenClassrooms, c'est apprendre un métier avec une formation mêlant 20 % de théorie et 80 % de pratique, pour être 100 % prêt à l'emploi ! Grâce à nos équipes, qui épaulent chaque profil dans la recherche d'un employeur, nous affichons un taux d'insertion de nos étudiants de plus de 80 % en entreprise !
Notre école en ligne propose des centaines de formations sur des métiers du numérique, 100 % en ligne, avec un diplôme reconnu par l'État à la clé. Vous former avec OpenClassrooms, c'est aussi rejoindre une communauté internationale de plus de 12 000 étudiants actifs et motivés, dans 72 pays.
Nous recherchons un profil motivé pour occuper le poste de Développeur REACT/NODE JS en alternance pour une de nos entreprises partenaires (grande distribution, secteur bancaire, luxe, services, etc…).
Si votre candidature est retenue, votre scolarité sera entièrement financée par votre employeur.
Attention : pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.
Description de l'entreprise
Notre startup a développé une appli de rencontre et travail parallèlement au développement d'un réseau social privé pour modèle, influenceurs, célébrités et créateurs. Elle recherche un Développeur dès maintenant pour épauler le CTO sur différentes sections de notre plateforme. Une opportunité de participer au lancement de la plateforme, moment le plus excitant dans la vie d'une start-up. Bénéficier d'un cadre de travail agréable, dynamique et jeune. Profiter de missions variées et intéressantes
Missions
Développement d'un module de commentaire « Style Facebook » sur le fil d'actu. Développement d'un module de suggestions d'abonnements. Tester et améliorer les performances de la plateforme grâce à des outils divers (Light house). Rendre la plateforme responsive sur mobile et tablette
différentes tâches de mise en page/style. Module chat group à développer. Modification de page de landing éventuelle. Diverses missions annexes et 69 autres tickets dans Jira
Profil recherché
Codeur, programmeur, développeur Web, autodidacte
Qu'importe ton niveau de diplôme….
ou si tu es un intro ou extraverti(e).
Personnes rigoureuses, attentionnées, volontaires.
Maîtrise des outils de développement WEB et de l'environnement Linux.
Tu as de l'expérience en codage dans les technos suivantes :
React JS (un must).
Environnement Git.
Si tu es à l'aise sur les technos Node JS, REST, Arango DB, Swagger, Yaml et un peu de linux.
C'est un plus.
Connaissance en UX Design, maitrise ADOBE, c'est un plus.
Savoir être : Capacité à comprendre et traduire les problématiques Travailler en mode agile Passion pour le Dev Polyvalence Force de proposition
Pré-requis à la formation
Pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.",9b7d3d3a-0167-4fbc-9848-bd1f85cacb80,Développeur React-Node Js en alternance H/F,node js
3,3,"
7 Rue Scribe
Paris, IDF 75009",,,,"
Il y a 1 jour",,,,,,"
Temps Plein, CDI",2023-07-21,"Dans la cadre d’un renfort d’équipe chez l’un de nos clients, acteur majeur dans le monde bancaire, nous recherchons un Tech Lead pour suivre une équipe d’une dizaine de développeurs.

La mission consiste à faire:

- Le suivi des développements Java (codes sources, tests unitaires, revue de code, ...)
- La mise en place de et le monitoring des environnements
- La livraison et le suivi de production

Si vous avez une expérience de 10 ans sur du développement JAVA Full Stack, dont 2 ans sur un poste de tech lead et une bonne maitrise du : Java, Rest, Docker, Jenkins, CI-CD, Sonar, React JS, AWS, n'hésitez plus ! et envoyez-nous votre CV .",456ae612-b0d4-4287-af4a-cb472fac2374,Tech Lead Java (H/F),node js
4,4,"
SAUMUR, PLO",,,1986.0,"
Il y a 3 jours",,"
Informatique - Services","
http://www.itlink.fr",,"
500 à 999 salariés",,2023-07-21,"À PROPOS

Engagé.e.s pour l'égalité des chances, nous pensons que la diversité est une richesse. Nous savons respecter, apprécier et valoriser les différences de chacun.e : ce sont vos qualités humaines qui seront considérées.
“Connect and Create for Change”... with us !
IT Link, expert des systèmes connectés
Chez IT Link, cela fait 35 ans que nous misons sur la connexion des technologies, des objets et des personnes pour apporter des réponses aux grands défis actuels de notre société (environnement, santé, sécurité…).
Nous accompagnons nos clients dans leurs projets d’innovation et de transformation, des technologies embarquées à l’application métier en passant par le cloud et la science des données.
Pour cela, nous comptons sur nos 750 Linkers présent.e.s sur 14 agences réparties dans le monde (France, Benelux, Canada et Maroc). A horizon 2025, l’objectif est d’atteindre 1000 collaborateurs.trices pour soutenir notre forte croissance.

DESCRIPTIF DU POSTE
En rejoignant IT Link, vous intégrez directement l’équipe R&D de notre client qui compte aujourd’hui 6 à 8 développeurs. Ces derniers sont répartis en deux groupes, l’un sur les technologies historiques en C embarqué et l’autre sur des langages de haut niveau Node et React.
Dans cet environnement, vous participez activement à l'élargissement des gammes des produits via le développement de nouveaux logiciels codés en Node et React.
Pour vous, le poste idéal intègre notamment les tâches suivantes :
Développer le back end et le front end
Participer aux choix d’architecture
Participer à la rédaction de la documentation (spécifications techniques, tests …)
Travailler en étroite collaboration avec le service Validation et également être support aux équipes interne de la société

PROFIL
Vous êtes diplômé.e d'études supérieures en Informatique et vous avez une expérience significative réussie de 2 ans. Aujourd’hui, vous :
Avez une bonne maîtrise du développement sur serveur Node JS
Avez des bonnes connaissances des frameworks web React, jQuery, Boostrap.
Avez connaissance du langage Typescript, des systèmes d’authentification (OAuth2…)
Êtes proactif, rigoureux et créatif
Aimer travailler en équipe
Salaire : 35k-40K (négociable selon votre profil et vos expériences)

LE PROCESSUS DE RECRUTEMENT
Un process avec des étapes simples :
Des RDV avec les équipes Business & Recrutement pour prendre le temps de se connaître et valider l'adéquation entre votre projet professionnel et nos activités
Un accompagnement à la rencontre client : on prend le temps de vous présenter le contexte et les attendus techniques en amont et on assiste avec vous au RDV avec le prescripteur technique. C’est le moment de découvrir l’environnement du projet sur lequel vous serez amené.e à travailler !
Le retour est positif ? Nous finalisons les démarches administratives et vous accueillons parmi les Linkers grâce à notre parcours d’intégration personnalisé !

“Vous pouvez imaginer, créer et construire l'endroit le plus merveilleux de la terre, mais il faudra toujours des hommes pour que le rêve devienne réalité.” - Walt Disney. Et si vous veniez nous rejoindre pour réaliser les rêves de demain ? ✨
LES PLUS DE LA VIE CHEZ IT LINK
Alan : mutuelle familiale et 100% digitale
Transports en commun à 100%
Management de proximité
Forts engagements RSE",43e87f1c-7b1f-41da-99e7-a093d2d08f5a,Développeur.euse Full Stack Node/React (H/F/X),node js
5,5,"
Labège, OCC",,,2009.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Lynx RH Toulouse est, cabinet de recrutement spécialisé dans les domaines de l'informatique, l'ingénierie et les fonctions supports en CDI, CDD, Intérim, recrute pour l'un de ses clients un(e) Développeur web Full Stack Node JS (H/F), basé à Balma (31).
Vos missions
Vos missions seront les suivantes :

Participation aux choix stratégique des technologies,
Mise en place des bonnes pratique,
Développement front et back office de solutions responsives multi-supports,
Tests des développements et maintenance.
TECHNOLOGIES : ReactJS, Node JS, Redux, HTML/CSS, API Rest.
Pré-requis
Vous êtes autonome et vous aimez le travail en équipe.
Profil recherché
De formation supérieure en informatique, vous justifiez d'une première expérience dans le développement de sites web/applications.
La maîtrise de React JS et Redux est impérative, ainsi qu'une bonne maîtrise de HTML/CSS et API Rest.
Vous disposez d'un sens de l'esthétique et du détail.
Des expériences en serveur rendering (SSR) et en développement serveur seraient également appréciées.
Vous êtes passionné par l'informatique, ouvert à tout type de technologies et curieux d'apprendre de nouvelles choses.
Au sein d'une entreprise à forte exigence technique, vous souhaitez vous investir dans un cadre de travail stimulant.
Avantages :
Tickets restaurants,
Mutuelle,
Prime de fin d'année.
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 32000 € - 45000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 26/07/2023",04dca139-c5e4-4423-bf64-1397b84849b7,Développeur full stack React JS / Node JS (H/F),node js
6,6,"
Bordeaux, NA",,,2013.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.openclassrooms.com",,"
100 à 499 salariés",,2023-07-21,"Vous cherchez à acquérir des compétences d'aujourd'hui et un métier qui a de l'avenir en alternance?
Notre mission : rendre l'éducation accessible à tous.
L'alternance avec OpenClassrooms, c'est apprendre un métier avec une formation mêlant 20 % de théorie et 80 % de pratique, pour être 100 % prêt à l'emploi ! Grâce à nos équipes, qui épaulent chaque profil dans la recherche d'un employeur, nous affichons un taux d'insertion de nos étudiants de plus de 80 % en entreprise !
Notre école en ligne propose des centaines de formations sur des métiers du numérique, 100 % en ligne, avec un diplôme reconnu par l'État à la clé. Vous former avec OpenClassrooms, c'est aussi rejoindre une communauté internationale de plus de 12 000 étudiants actifs et motivés, dans 72 pays.
Nous recherchons un profil motivé pour occuper le poste de Développeur REACT/NODE JS en alternance pour une de nos entreprises partenaires (grande distribution, secteur bancaire, luxe, services, etc…).
Si votre candidature est retenue, votre scolarité sera entièrement financée par votre employeur.
Attention : pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.
Description de l'entreprise
Notre startup a développé une appli de rencontre et travail parallèlement au développement d'un réseau social privé pour modèle, influenceurs, célébrités et créateurs. Elle recherche un Développeur dès maintenant pour épauler le CTO sur différentes sections de notre plateforme. Une opportunité de participer au lancement de la plateforme, moment le plus excitant dans la vie d'une start-up. Bénéficier d'un cadre de travail agréable, dynamique et jeune. Profiter de missions variées et intéressantes
Missions
Développement d'un module de commentaire « Style Facebook » sur le fil d'actu. Développement d'un module de suggestions d'abonnements. Tester et améliorer les performances de la plateforme grâce à des outils divers (Light house). Rendre la plateforme responsive sur mobile et tablette
différentes tâches de mise en page/style. Module chat group à développer. Modification de page de landing éventuelle. Diverses missions annexes et 69 autres tickets dans Jira
Profil recherché
Codeur, programmeur, développeur Web, autodidacte
Qu'importe ton niveau de diplôme….
ou si tu es un intro ou extraverti(e).
Personnes rigoureuses, attentionnées, volontaires.
Maîtrise des outils de développement WEB et de l'environnement Linux.
Tu as de l'expérience en codage dans les technos suivantes :
React JS (un must).
Environnement Git.
Si tu es à l'aise sur les technos Node JS, REST, Arango DB, Swagger, Yaml et un peu de linux.
C'est un plus.
Connaissance en UX Design, maitrise ADOBE, c'est un plus.
Savoir être : Capacité à comprendre et traduire les problématiques Travailler en mode agile Passion pour le Dev Polyvalence Force de proposition
Pré-requis à la formation
Pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.",66ddee75-18a6-4a2c-bf35-f78d19ee40a2,Développeur React-Node Js en alternance H/F,node js
7,7,"
7 Rue Scribe
Paris, IDF 75009",,,,"
Il y a 1 jour",,,,,,"
Temps Plein, CDI",2023-07-21,"Dans la cadre d’un renfort d’équipe chez l’un de nos clients, acteur majeur dans le monde bancaire, nous recherchons un Tech Lead pour suivre une équipe d’une dizaine de développeurs.

La mission consiste à faire:

- Le suivi des développements Java (codes sources, tests unitaires, revue de code, ...)
- La mise en place de et le monitoring des environnements
- La livraison et le suivi de production

Si vous avez une expérience de 10 ans sur du développement JAVA Full Stack, dont 2 ans sur un poste de tech lead et une bonne maitrise du : Java, Rest, Docker, Jenkins, CI-CD, Sonar, React JS, AWS, n'hésitez plus ! et envoyez-nous votre CV .",60ce0243-747c-4166-8b63-12947b8731ce,Tech Lead Java (H/F),node js
8,8,"
SAUMUR, PLO",,,1986.0,"
Il y a 3 jours",,"
Informatique - Services","
http://www.itlink.fr",,"
500 à 999 salariés",,2023-07-21,"À PROPOS

Engagé.e.s pour l'égalité des chances, nous pensons que la diversité est une richesse. Nous savons respecter, apprécier et valoriser les différences de chacun.e : ce sont vos qualités humaines qui seront considérées.
“Connect and Create for Change”... with us !
IT Link, expert des systèmes connectés
Chez IT Link, cela fait 35 ans que nous misons sur la connexion des technologies, des objets et des personnes pour apporter des réponses aux grands défis actuels de notre société (environnement, santé, sécurité…).
Nous accompagnons nos clients dans leurs projets d’innovation et de transformation, des technologies embarquées à l’application métier en passant par le cloud et la science des données.
Pour cela, nous comptons sur nos 750 Linkers présent.e.s sur 14 agences réparties dans le monde (France, Benelux, Canada et Maroc). A horizon 2025, l’objectif est d’atteindre 1000 collaborateurs.trices pour soutenir notre forte croissance.

DESCRIPTIF DU POSTE
En rejoignant IT Link, vous intégrez directement l’équipe R&D de notre client qui compte aujourd’hui 6 à 8 développeurs. Ces derniers sont répartis en deux groupes, l’un sur les technologies historiques en C embarqué et l’autre sur des langages de haut niveau Node et React.
Dans cet environnement, vous participez activement à l'élargissement des gammes des produits via le développement de nouveaux logiciels codés en Node et React.
Pour vous, le poste idéal intègre notamment les tâches suivantes :
Développer le back end et le front end
Participer aux choix d’architecture
Participer à la rédaction de la documentation (spécifications techniques, tests …)
Travailler en étroite collaboration avec le service Validation et également être support aux équipes interne de la société

PROFIL
Vous êtes diplômé.e d'études supérieures en Informatique et vous avez une expérience significative réussie de 2 ans. Aujourd’hui, vous :
Avez une bonne maîtrise du développement sur serveur Node JS
Avez des bonnes connaissances des frameworks web React, jQuery, Boostrap.
Avez connaissance du langage Typescript, des systèmes d’authentification (OAuth2…)
Êtes proactif, rigoureux et créatif
Aimer travailler en équipe
Salaire : 35k-40K (négociable selon votre profil et vos expériences)

LE PROCESSUS DE RECRUTEMENT
Un process avec des étapes simples :
Des RDV avec les équipes Business & Recrutement pour prendre le temps de se connaître et valider l'adéquation entre votre projet professionnel et nos activités
Un accompagnement à la rencontre client : on prend le temps de vous présenter le contexte et les attendus techniques en amont et on assiste avec vous au RDV avec le prescripteur technique. C’est le moment de découvrir l’environnement du projet sur lequel vous serez amené.e à travailler !
Le retour est positif ? Nous finalisons les démarches administratives et vous accueillons parmi les Linkers grâce à notre parcours d’intégration personnalisé !

“Vous pouvez imaginer, créer et construire l'endroit le plus merveilleux de la terre, mais il faudra toujours des hommes pour que le rêve devienne réalité.” - Walt Disney. Et si vous veniez nous rejoindre pour réaliser les rêves de demain ? ✨
LES PLUS DE LA VIE CHEZ IT LINK
Alan : mutuelle familiale et 100% digitale
Transports en commun à 100%
Management de proximité
Forts engagements RSE",cf5040f4-c6c8-42bf-8d6a-92d1ad7966fa,Développeur.euse Full Stack Node/React (H/F/X),node js
9,9,"
Labège, OCC",,,2009.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Lynx RH Toulouse est, cabinet de recrutement spécialisé dans les domaines de l'informatique, l'ingénierie et les fonctions supports en CDI, CDD, Intérim, recrute pour l'un de ses clients un(e) Développeur web Full Stack Node JS (H/F), basé à Balma (31).
Vos missions
Vos missions seront les suivantes :

Participation aux choix stratégique des technologies,
Mise en place des bonnes pratique,
Développement front et back office de solutions responsives multi-supports,
Tests des développements et maintenance.
TECHNOLOGIES : ReactJS, Node JS, Redux, HTML/CSS, API Rest.
Pré-requis
Vous êtes autonome et vous aimez le travail en équipe.
Profil recherché
De formation supérieure en informatique, vous justifiez d'une première expérience dans le développement de sites web/applications.
La maîtrise de React JS et Redux est impérative, ainsi qu'une bonne maîtrise de HTML/CSS et API Rest.
Vous disposez d'un sens de l'esthétique et du détail.
Des expériences en serveur rendering (SSR) et en développement serveur seraient également appréciées.
Vous êtes passionné par l'informatique, ouvert à tout type de technologies et curieux d'apprendre de nouvelles choses.
Au sein d'une entreprise à forte exigence technique, vous souhaitez vous investir dans un cadre de travail stimulant.
Avantages :
Tickets restaurants,
Mutuelle,
Prime de fin d'année.
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 32000 € - 45000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 26/07/2023",06505e96-c608-4822-a76e-3cc5223a2e91,Développeur full stack React JS / Node JS (H/F),node js
